call_id,customer_id,date,transcript,key_quotes,competitor_mentioned,expansion_signals,churn_signals
CALL-2000,HC-1000,2025-04-23,"CALL TRANSCRIPT
Customer: Regional Health Partners (HC-1000)
Date: 2025-04-23
Duration: 36 minutes
Type: expansion
Participants: Billing Manager (Customer), CSM Team

[00:01:30]
Billing Manager: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Billing Manager: ""Honestly, once we got past the initial learning curve, the mobile app has been a game-changer. The billing team loves the workflow.""

[00:04:30]
Billing Manager: ""Actually, I wanted to ask about the referral management feature. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Billing Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2001,HC-1000,2024-07-16,"CALL TRANSCRIPT
Customer: Regional Health Partners (HC-1000)
Date: 2024-07-16
Duration: 89 minutes
Type: renewal
Participants: Operations Director (Customer), CSM Team

[00:01:30]
Operations Director: ""I wanted to share some good news - we reduced our no-show rate from 18% to 8%. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Operations Director: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. Our providers are actually using it daily.""

[00:04:30]
Operations Director: ""Actually, I wanted to ask about the referral management feature. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional 25% improvement in coordination.""

[00:07:00]
Operations Director: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2002,HC-1001,2025-08-20,"CALL TRANSCRIPT
Customer: Regional Medical Group (HC-1001)
Date: 2025-08-20
Duration: 15 minutes
Type: support_escalation
Participants: CMO (Customer), CSM Team

[00:01:00]
CSM: ""Thanks for making time today. How are things going with the platform?""

[00:01:30]
CMO: ""Overall it's going well. The team is getting more comfortable with it. We're up to about 292 of our 422 providers using it daily.""

[00:02:45]
CSM: ""That's great adoption. Any areas where the team is struggling or needs additional training?""

[00:04:30]
CSM: ""I can arrange that.""

[00:05:00]
CMO: ""Sounds good. Otherwise no major issues. Talk to you next quarter.""

Call Sentiment: Neutral - stable but no strong enthusiasm
",,False,False,False
CALL-2003,HC-1001,2025-05-14,"CALL TRANSCRIPT
Customer: Regional Medical Group (HC-1001)
Date: 2025-05-14
Duration: 26 minutes
Type: expansion
Participants: Billing Manager (Customer), CSM Team

[00:01:30]
Billing Manager: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Billing Manager: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. Our providers are actually using it daily.""

[00:04:30]
Billing Manager: ""Actually, I wanted to ask about the referral management feature. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Billing Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2004,HC-1002,2025-09-02,"CALL TRANSCRIPT
Customer: Integrated Healthcare Partners (HC-1002)
Date: 2025-09-02
Duration: 67 minutes
Type: renewal
Participants: Practice Manager (Customer), CSM Team

[00:01:30]
Practice Manager: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Practice Manager: ""Honestly, once we got past the initial learning curve, the automated reminders has been a game-changer. Our providers are actually using it daily.""

[00:04:30]
Practice Manager: ""Actually, I wanted to ask about the telehealth module. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional 15-20% efficiency gains.""

[00:07:00]
Practice Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2005,HC-1002,2024-07-23,"CALL TRANSCRIPT
Customer: Integrated Healthcare Partners (HC-1002)
Date: 2024-07-23
Duration: 75 minutes
Type: support_escalation
Participants: Operations Director (Customer), CSM Team

[00:01:30]
Operations Director: ""I wanted to share some good news - patient satisfaction scores have improved by 15 points. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Operations Director: ""Honestly, once we got past the initial learning curve, the reporting dashboard has been a game-changer. The billing team loves the workflow.""

[00:04:30]
Operations Director: ""Actually, I wanted to ask about multi-location scheduling. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional $50K+ in recovered revenue.""

[00:07:00]
Operations Director: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2006,HC-1003,2025-04-05,"CALL TRANSCRIPT
Customer: Premier Healthcare Center (HC-1003)
Date: 2025-04-05
Duration: 68 minutes
Type: check-in
Participants: Multiple stakeholders (Customer), CSM Team

[00:02:15]
Multiple stakeholders: ""Look, I'm going to be honest with you. the scheduling conflicts are causing patient complaints. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Multiple stakeholders: ""It's been about 3 weeks now. And here's the thing - we're paying you $689 per month specifically because you promised workflow efficiency. That was the whole selling point.""

[00:05:20]
Multiple stakeholders: ""I had a demo from Athenahealth last week. They showed me their Epic connector and it looked more stable. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Monday?""

[00:08:30]
Multiple stakeholders: ""I can do Thursday. But this is urgent. We're 55 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
CALL-2007,HC-1003,2024-10-27,"CALL TRANSCRIPT
Customer: Premier Healthcare Center (HC-1003)
Date: 2024-10-27
Duration: 51 minutes
Type: support_escalation
Participants: Billing Manager (Customer), CSM Team

[00:01:30]
Billing Manager: ""I wanted to share some good news - our staff is saving about 10 hours per week on scheduling. The team is really happy with the results.""

[00:02:15]
CSM: ""That's fantastic to hear! What do you think made the biggest difference?""

[00:03:00]
Billing Manager: ""Honestly, once we got past the initial learning curve, the automated reminders has been a game-changer. Patients are commenting on how easy it is.""

[00:04:30]
Billing Manager: ""Actually, I wanted to ask about the referral management feature. We're looking to expand and I've heard good things from other practices about that capability.""

[00:05:45]
CSM: ""Absolutely! Let me set up a demo for you next week. Given your success with the current setup, I think you'll find a lot of value in those features. Many practices your size see additional 25% improvement in coordination.""

[00:07:00]
Billing Manager: ""Perfect. Also, our CFO asked me to be a reference for you if you need one. We're really happy with the ROI we're seeing.""

Call Sentiment: Very positive - expansion opportunity + reference potential
",,False,True,False
CALL-2008,HC-1004,2024-04-27,"CALL TRANSCRIPT
Customer: Regional Health Group (HC-1004)
Date: 2024-04-27
Duration: 79 minutes
Type: check-in
Participants: Billing Manager (Customer), CSM Team

[00:01:00]
CSM: ""Thanks for making time today. How are things going with the platform?""

[00:01:30]
Billing Manager: ""Overall it's going well. The team is getting more comfortable with it. We're up to about 7 of our 10 providers using it daily.""

[00:02:45]
CSM: ""That's great adoption. Any areas where the team is struggling or needs additional training?""

[00:04:30]
CSM: ""I can arrange that.""

[00:05:00]
Billing Manager: ""Sounds good. Otherwise no major issues. Talk to you next quarter.""

Call Sentiment: Neutral - stable but no strong enthusiasm
",,False,False,False
CALL-2009,HC-1004,2024-09-08,"CALL TRANSCRIPT
Customer: Regional Health Group (HC-1004)
Date: 2024-09-08
Duration: 18 minutes
Type: onboarding
Participants: Operations Director (Customer), CSM Team

[00:02:15]
Operations Director: ""Look, I'm going to be honest with you. we're spending 2+ extra hours per day on manual data entry. This is really impacting our operations and my team's morale.""

[00:03:30]
CSM: ""I completely understand your frustration. This is not the experience we want you to have. Can you tell me more about when this started?""

[00:04:05]
Operations Director: ""It's been about 3 weeks now. And here's the thing - we're paying you $6,810 per month specifically because you promised seamless integration. That was the whole selling point.""

[00:05:20]
Operations Director: ""I had a demo from Athenahealth last week. They showed me their Epic connector and it looked more stable. I don't want to switch - we've invested a lot in your platform - but I need to show leadership we have options if this doesn't get fixed soon.""

[00:07:45]
CSM: ""I hear you. Give me 48 hours. I'm going to escalate this to our VP of Engineering personally. Can we schedule a technical deep-dive on Tuesday?""

[00:08:30]
Operations Director: ""That works. But this is urgent. We're 57 days from renewal and I can't recommend renewing if we're still having these issues.""

[00:09:15]
CSM: ""Understood. I'm going to personally own this until it's resolved. You'll have an update from me by end of day tomorrow with a clear action plan.""

Call Sentiment: Frustrated but willing to work with us
",,True,False,False
