email_id,customer_id,interaction_id,date,thread_content,sentiment,escalation_level
EMAIL-1000,HC-1000,TICKET-5002,2024-02-29,"From: Medical Assistant <medical.assistant@regionalhealthpartners.com>
Date: 2024-02-29
Subject: URGENT: Ehr Integration

This is urgent and affecting patient care.

Medication reconciliation data from Cerner not flowing correctly. Providers seeing outdated medication lists. This is causing significant disruption to patient care. COO escalating.

Patients are complaining and it's affecting our reputation.

This cannot wait any longer.

Please call me ASAP: 555-5563
Medical Assistant",frustrated,high
EMAIL-1001,HC-1000,TICKET-5003,2024-06-11,"From: Front Desk <front.desk@regionalhealthpartners.com>
Date: 2024-06-11
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Would be happy to be a reference if you need one.

Thanks,
Front Desk",negative,normal
EMAIL-1002,HC-1000,TICKET-5005,2025-01-17,"From: Provider <provider@regionalhealthpartners.com>
Date: 2025-01-17
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Looking forward to continuing our partnership.

Thanks,
Provider",negative,high
EMAIL-1003,HC-1000,TICKET-5006,2024-01-05,"From: Billing Specialist <billing.specialist@regionalhealthpartners.com>
Date: 2024-01-05
Subject: Great support experience

I wanted to reach out with some positive feedback.

Our providers are really happy with the improvements you've made.

Interested in learning about upcoming features.

Thanks,
Billing Specialist",negative,normal
EMAIL-1004,HC-1002,TICKET-5011,2024-01-23,"From: IT Admin <it.admin@integratedhealthcarepartners.com>
Date: 2024-01-23
Subject: Great support experience

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Would be happy to be a reference if you need one.

Thanks,
IT Admin",concerned,normal
EMAIL-1005,HC-1003,TICKET-5015,2024-06-05,"From: Practice Manager <practice.manager@premierhealthcarecenter.com>
Date: 2024-06-05
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

Our providers are really happy with the improvements you've made.

Would be happy to be a reference if you need one.

Thanks,
Practice Manager",neutral,normal
EMAIL-1006,HC-1004,TICKET-5019,2025-02-23,"From: Front Desk <front.desk@regionalhealthgroup.com>
Date: 2025-02-23
Subject: URGENT: Clinical Documentation

This is urgent and affecting patient care.

Issue with clinical documentation This is causing significant disruption to patient care. Director of Operations escalating.

Patients are complaining and it's affecting our reputation.

Our leadership is questioning whether we should continue with your platform.

Please call me ASAP: 555-2935
Front Desk

============================================================
FOLLOW-UP EMAIL:
============================================================

From: Front Desk <front.desk@regionalhealthgroup.com>
Date: 2025-02-26
Subject: Re: Clinical Documentation

I sent information on ticket #5019 3 days ago and haven't heard back.

This is the second time this month I've had to repeat myself. I'm spending more time explaining our problems than getting them fixed.

Our CMO just asked me if we should look at other platforms. I don't know what to tell them.

Front Desk",frustrated,high
EMAIL-1007,HC-1004,TICKET-5022,2024-03-17,"From: IT Admin <it.admin@regionalhealthgroup.com>
Date: 2024-03-17
Subject: URGENT: Prescription Workflow

I need immediate assistance with a critical issue.

Issue with prescription workflow This is causing significant disruption to patient care. Director of Operations escalating.

This is costing us thousands in delayed revenue.

Our leadership is questioning whether we should continue with your platform.

Please call me ASAP: 555-3235
IT Admin",frustrated,high
EMAIL-1008,HC-1004,TICKET-5023,2024-10-30,"From: Medical Assistant <medical.assistant@regionalhealthgroup.com>
Date: 2024-10-30
Subject: URGENT: Clinical Documentation

We've been struggling with this for too long.

Issue with clinical documentation This is causing significant disruption to patient care. Director of Operations escalating.

Staff are spending 11 extra hours per week on workarounds.

This cannot wait any longer.

Please call me ASAP: 555-8649
Medical Assistant",urgent,high
EMAIL-1009,HC-1005,TICKET-5024,2024-10-24,"From: Practice Manager <practice.manager@advancedhealthcaregroup.com>
Date: 2024-10-24
Subject: Great support experience

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Looking forward to continuing our partnership.

Thanks,
Practice Manager",positive,normal
EMAIL-1010,HC-1005,TICKET-5026,2025-03-24,"From: Practice Manager <practice.manager@advancedhealthcaregroup.com>
Date: 2025-03-24
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

Your team was incredibly responsive on our recent issue.

Interested in learning about upcoming features.

Thanks,
Practice Manager",neutral,normal
EMAIL-1011,HC-1005,TICKET-5028,2025-01-29,"From: IT Admin <it.admin@advancedhealthcaregroup.com>
Date: 2025-01-29
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Interested in learning about upcoming features.

Thanks,
IT Admin",positive,normal
EMAIL-1012,HC-1006,TICKET-5031,2025-03-24,"From: Billing Specialist <billing.specialist@premiermedicalpartners.com>
Date: 2025-03-24
Subject: Positive feedback to share

I wanted to reach out with some positive feedback.

Our providers are really happy with the improvements you've made.

Looking forward to continuing our partnership.

Thanks,
Billing Specialist",neutral,high
EMAIL-1013,HC-1006,TICKET-5032,2024-05-13,"From: Front Desk <front.desk@premiermedicalpartners.com>
Date: 2024-05-13
Subject: Positive feedback to share

I wanted to reach out with some positive feedback.

Our providers are really happy with the improvements you've made.

Interested in learning about upcoming features.

Thanks,
Front Desk",neutral,normal
EMAIL-1014,HC-1007,TICKET-5036,2024-12-20,"From: Provider <provider@integratedcareassociates.com>
Date: 2024-12-20
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Looking forward to continuing our partnership.

Thanks,
Provider",neutral,normal
EMAIL-1015,HC-1007,TICKET-5037,2025-09-19,"From: Medical Assistant <medical.assistant@integratedcareassociates.com>
Date: 2025-09-19
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

Your team was incredibly responsive on our recent issue.

Would be happy to be a reference if you need one.

Thanks,
Medical Assistant",concerned,high
EMAIL-1016,HC-1008,TICKET-5042,2024-01-19,"From: Provider <provider@communitymedicalsystem.com>
Date: 2024-01-19
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

Your team was incredibly responsive on our recent issue.

Looking forward to continuing our partnership.

Thanks,
Provider",neutral,high
EMAIL-1017,HC-1008,TICKET-5043,2024-04-03,"From: Provider <provider@communitymedicalsystem.com>
Date: 2024-04-03
Subject: Thank you for the quick response

I wanted to reach out with some positive feedback.

The new feature you rolled out is exactly what we needed.

Would be happy to be a reference if you need one.

Thanks,
Provider",positive,normal
