insight_id,customer_id,generated_date,insight_type,risk_score,primary_issue,recommended_actions,actions_taken,outcome_status,health_score_before,health_score_after,health_score_change,churn_prevented,expansion_occurred,expansion_arr,mrr_retained,customer_feedback,learnings
INS-5000,HC-1000,2025-09-01,churn_risk,53,patient_portal,"[""Executive escalation call"", ""Resolve patient portal issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-04""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-09-05""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-17""}]",resolved,47,79,32,True,False,0.0,1360,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for patient portal issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5001,HC-1001,2025-09-03,churn_risk,58,insurance_verification,"[""Executive escalation call"", ""Resolve insurance verification issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-28""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-10""}]",unresolved,42,35,-7,False,False,0.0,59131,Unfortunately decided to move to competitor,"[""Fast response critical for insurance verification issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5002,HC-1004,2025-07-08,churn_risk,56,clinical_documentation,"[""Executive escalation call"", ""Resolve clinical documentation issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-27""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-25""}]",unresolved,44,39,-5,False,False,0.0,6810,Unfortunately decided to move to competitor,"[""Fast response critical for clinical documentation issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5003,HC-1006,2025-08-07,churn_risk,43,clinical_documentation,"[""Executive escalation call"", ""Resolve clinical documentation issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-31""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-08""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-11""}]",resolved,57,94,37,True,True,24213.026034912542,4343,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for clinical documentation issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5004,HC-1011,2025-07-28,churn_risk,46,claims_management,"[""Executive escalation call"", ""Resolve claims management issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-30""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-28""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-26""}]",resolved,54,94,40,True,False,0.0,3273,Good progress but still monitoring closely.,"[""Fast response critical for claims management issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5005,HC-1020,2025-08-31,churn_risk,52,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-08""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-26""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-31""}]",resolved,48,92,44,True,False,0.0,6930,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5006,HC-1032,2025-08-22,churn_risk,59,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-08""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-30""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-07""}]",resolved,41,84,43,True,True,130090.30701301816,19014,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5007,HC-1035,2025-07-21,churn_risk,46,appointment_reminders,"[""Executive escalation call"", ""Resolve appointment reminders issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-09-01""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-07-27""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-07-26""}]",resolved,54,86,32,True,True,13887.767476453137,2215,Very satisfied with response. Issues resolved quickly.,"[""Fast response critical for appointment reminders issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
INS-5008,HC-1036,2025-07-19,churn_risk,70,billing_workflow,"[""Executive escalation call"", ""Resolve billing workflow issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-07-13""}, {""action"": ""Technical fix deployed"", ""completed"": false, ""date"": null}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-08-28""}]",churned,30,26,-4,False,False,0.0,0,Unfortunately decided to move to competitor,"[""Fast response critical for billing workflow issues"", ""Executive engagement makes difference"", ""Need faster technical resolution""]"
INS-5009,HC-1038,2025-08-01,churn_risk,52,telehealth_setup,"[""Executive escalation call"", ""Resolve telehealth setup issues"", ""Offer service credit"", ""Weekly check-ins until stable""]","[{""action"": ""Executive escalation"", ""completed"": true, ""date"": ""2025-08-17""}, {""action"": ""Technical fix deployed"", ""completed"": true, ""date"": ""2025-08-25""}, {""action"": ""Service credit applied"", ""completed"": true, ""date"": ""2025-09-10""}]",resolved,48,96,48,True,False,0.0,13308,Appreciate the attention. Staying with platform.,"[""Fast response critical for telehealth setup issues"", ""Executive engagement makes difference"", ""Service credits effective goodwill gesture""]"
