survey_id,customer_id,survey_date,nps_score,nps_category,ease_of_use,feature_satisfaction,support_satisfaction,value_for_money,primary_reason_verbatim,improvement_suggestion_verbatim,considering_alternatives_verbatim,would_recommend_verbatim
SURVEY-1000,HC-1001,2025-08-25,3,detractor,2,1,3,3,Integration with Cerner breaks constantly. We're doing manual data entry that should be automatic.,Either fix the core functionality or be honest in sales that it doesn't work for our type of practice.,Already put in a budget request to switch platforms. Just waiting for board approval.,Score: 3/10 - Detractor
SURVEY-1001,HC-1002,2025-08-07,7,passive,2,4,3,3,Good platform but the learning curve was steep. Took us 5 months to get fully comfortable.,More competitive pricing. We're a small practice and it's a stretch for our budget.,Considering it. Depends on whether issues get resolved.,Score: 7/10 - Passive
SURVEY-1002,HC-1003,2025-08-23,10,promoter,4,4,5,3,The platform has transformed our workflow. We're saving 13 hours per week on administrative tasks.,Would love to see integration with a few more specialty-specific tools.,"No, very happy with the platform.",Score: 10/10 - Promoter
SURVEY-1003,HC-1005,2025-09-11,7,passive,2,4,3,3,"It works well overall, but some features are more complex than they need to be.",More competitive pricing. We're a small practice and it's a stretch for our budget.,"Not actively looking, but we review options annually.",Score: 7/10 - Passive
SURVEY-1004,HC-1006,2025-09-22,1,detractor,2,3,2,2,Our claim denial rate has actually INCREASED since implementation. This is the opposite of what was promised.,Assign us a dedicated support person who actually understands our specialty and can solve problems quickly.,Actively evaluating alternatives. This isn't working for us.,Score: 1/10 - Detractor
SURVEY-1005,HC-1007,2025-10-05,4,detractor,1,1,1,2,Support is slow and often gives us generic answers that don't solve our specific problems. We feel like we're troubleshooting your product for you.,Massive improvement needed in reliability and integration stability. We can't run a practice on a platform that breaks every few weeks.,Actively evaluating alternatives. This isn't working for us.,Score: 4/10 - Detractor
SURVEY-1006,HC-1008,2025-09-08,10,promoter,4,3,5,5,Integration with Epic works flawlessly. Our providers love how seamless it is.,Everything is great. Keep up the good work.,"No, very happy with the platform.",Score: 10/10 - Promoter
SURVEY-1007,HC-1009,2025-08-19,7,passive,4,2,2,3,Support is responsive but sometimes it feels like they don't fully understand our workflow.,"Faster resolution on technical issues. When something breaks, we can't wait days for a fix.","Not actively looking, but we review options annually.",Score: 7/10 - Passive
SURVEY-1008,HC-1013,2025-09-08,9,promoter,3,4,5,4,The reporting capabilities give us insights we never had before. Making much better operational decisions.,"Honestly, very satisfied. Maybe add more mobile functionality for providers on the go.","No, very happy with the platform.",Score: 9/10 - Promoter
SURVEY-1009,HC-1014,2025-09-14,9,promoter,5,3,5,3,The platform has transformed our workflow. We're saving 15 hours per week on administrative tasks.,Would love to see integration with a few more specialty-specific tools.,"No, very happy with the platform.",Score: 9/10 - Promoter
