customer_id,date,appointments_created,appointments_cancelled,no_shows,reminders_sent,online_bookings,claims_submitted,claims_approved,claims_denied,claim_denial_rate,ehr_sync_attempts,ehr_sync_failures,ehr_data_synced_mb,portal_active_patients,portal_logins,portal_messages,portal_adoption_rate,active_users,licensed_users,utilization_rate,total_sessions,avg_session_duration_min,total_errors,critical_errors,workflows_completed,workflows_abandoned
HC-1000,2025-07-08,30,4,2,31,6,24,24,6,0.11542113272188283,8,0,221,158,151,14,0.14710566617155424,4,8,0.7201712044692745,2,36,2,0,58,1
HC-1000,2025-07-09,44,6,2,33,4,32,20,5,0.10995191734433407,8,0,104,153,147,10,0.2599060940795009,6,8,0.856042923188798,2,25,2,0,56,2
HC-1000,2025-07-10,48,2,1,45,8,32,24,3,0.20187371896404613,8,0,263,114,65,10,0.4673236353084157,3,8,0.7018441231473909,2,26,2,0,34,2
HC-1000,2025-07-11,32,2,1,29,4,26,26,5,0.14901052263295111,8,0,165,319,168,10,0.20692572157788786,4,8,0.6470259885273353,2,44,2,0,40,2
HC-1000,2025-07-12,36,2,2,37,6,30,36,3,0.16436691402528586,8,0,133,218,136,4,0.33893973359206103,7,8,0.7596675240362962,2,36,2,0,30,2
HC-1000,2025-07-13,38,2,1,31,6,20,22,4,0.23418120752047605,8,0,236,331,76,12,0.17757357665221246,6,8,0.6064983039384799,2,36,2,0,26,1
HC-1000,2025-07-14,42,4,3,39,4,20,32,5,0.21142857602166315,8,0,248,182,179,10,0.18654049135774864,7,8,0.5734533397303765,2,23,2,0,44,2
HC-1000,2025-07-15,34,4,3,31,6,32,20,5,0.18294770007972624,8,0,298,265,212,14,0.1630347136685391,4,8,0.8071258091937996,2,25,2,0,38,1
HC-1000,2025-07-16,42,4,2,35,8,40,32,5,0.10154014337792155,8,0,104,220,114,8,0.4005584825488049,4,8,0.5819028459395011,2,36,2,0,54,2
HC-1000,2025-07-17,66,3,4,64,15,54,33,9,0.15535952964684074,12,1,442,321,49,6,0.46097632152063267,4,8,0.4417038314009485,3,45,3,0,57,4
