call_id,customer_id,date,call_type,duration_minutes,attendees,call_notes,action_items,sentiment,expansion_opportunity,churn_risk_mentioned
CALL-2000,HC-1000,2025-04-23,expansion,36,Billing Manager,"Expansion opportunity discussion
            
Currently using: Basic scheduling + billing modules
Expressed interest in: Telehealth module and advanced analytics

Drivers:
- Expanding to telehealth post-COVID, need integrated solution
- Board requesting better operational dashboards
- 8 providers, growing to 18 next quarter

Budget: $2040.0/mo approved for Q4
Competition: Evaluating [competitor name] but prefer staying with us due to EHR integration

Next steps: Demo advanced analytics next week, pricing proposal by Friday
",Send proposal for telehealth module | Schedule demo with CMO and Operations | Prepare ROI analysis,enthusiastic,False,False
CALL-2001,HC-1000,2024-07-16,renewal,89,Operations Director,"Renewal discussion - annual contract expiring in 60 days

Overall satisfaction: at-risk
Renewal likelihood: At risk

What's working:
- Improved patient satisfaction scores by 23 points

Concerns raised:
- No-show rate impacting revenue, need better reminders

Renewal terms discussed: Addressing concerns before renewal
Action needed: Executive escalation meeting scheduled
",Send renewal quote by Friday | Schedule executive review if needed | Prepare case studies for board presentation,enthusiastic,True,False
CALL-2002,HC-1001,2025-08-20,support_escalation,15,CMO,"Check-in call with COO

Usage stats reviewed: 422 providers active
Recent support tickets: 2-3 tickets this month, mostly questions
Training needs: Staff fully trained

Feedback: Meeting expectations
",Follow up next month,neutral,False,True
CALL-2003,HC-1001,2025-05-14,expansion,26,Billing Manager,"Expansion opportunity discussion
            
Currently using: Basic scheduling + billing modules
Expressed interest in: Telehealth module and advanced analytics

Drivers:
- Expanding to telehealth post-COVID, need integrated solution
- Board requesting better operational dashboards
- 422 providers, growing to 432 next quarter

Budget: $88696.5/mo approved for Q4
Competition: Evaluating [competitor name] but prefer staying with us due to EHR integration

Next steps: Demo advanced analytics next week, pricing proposal by Friday
",Send proposal for telehealth module | Schedule demo with CMO and Operations | Prepare ROI analysis,enthusiastic,False,True
CALL-2004,HC-1002,2025-09-02,renewal,67,Practice Manager,"Renewal discussion - annual contract expiring in 60 days

Overall satisfaction: medium
Renewal likelihood: Moderate

What's working:
- Patient portal adoption increased from 12% to 47%

Concerns raised:
- Scheduling conflicts between multiple providers

Renewal terms discussed: Addressing concerns before renewal
Action needed: Executive escalation meeting scheduled
",Send renewal quote by Friday | Schedule executive review if needed | Prepare case studies for board presentation,enthusiastic,False,False
CALL-2005,HC-1002,2024-07-23,support_escalation,75,Operations Director,"Check-in call with IT Director

Usage stats reviewed: 42 providers active
Recent support tickets: 2-3 tickets this month, mostly questions
Training needs: Staff fully trained

Feedback: Meeting expectations
",Follow up next month,positive,False,False
CALL-2006,HC-1003,2025-04-05,check-in,68,Multiple stakeholders,"Check-in call with Director of Operations

Usage stats reviewed: 16 providers active
Recent support tickets: None - smooth sailing
Training needs: Staff fully trained

Feedback: Very happy with platform
",Follow up on training request | Share best practices document | Schedule next quarterly review,concerned,False,False
CALL-2007,HC-1003,2024-10-27,support_escalation,51,Billing Manager,"Check-in call with Director of Operations

Usage stats reviewed: 16 providers active
Recent support tickets: None - smooth sailing
Training needs: Staff fully trained

Feedback: Meeting expectations
",Follow up next month,positive,False,False
CALL-2008,HC-1004,2024-04-27,check-in,79,Billing Manager,"Check-in call with Director of Operations

Usage stats reviewed: 10 providers active
Recent support tickets: 2-3 tickets this month, mostly questions
Training needs: Additional training requested on reporting

Feedback: Meeting expectations
",Follow up on training request | Share best practices document | Schedule next quarterly review,neutral,False,False
CALL-2009,HC-1004,2024-09-08,onboarding,18,Operations Director,"Onboarding call with Regional Health Group - Mental Health
            
Goals discussed:
- Reduce no-show rate (currently at 22%)
- Streamline insurance verification process
- Improve patient portal adoption (currently only 15% of patients using)
- Better reporting for quality measures

Current pain points:
- No-show rate impacting revenue, need better reminders
- Staff training needed on advanced features
- Cerner integration setup pending

Success criteria defined: Reduce no-shows by 50% within 6 months, achieve 40% portal adoption
Timeline: Full implementation target is 90 days
",Schedule EHR integration kickoff | Send training materials for staff | Configure automated appointment reminders,concerned,False,False
CALL-2010,HC-1005,2024-05-28,renewal,65,Practice Manager,"Renewal discussion - annual contract expiring in 60 days

Overall satisfaction: high
Renewal likelihood: Strong

What's working:
- Staff saves 2 hours per day on insurance verification

Concerns raised:
- None - very satisfied

Renewal terms discussed: Multi-year discount offered
Action needed: Prepare renewal paperwork
",Send renewal quote by Friday | Schedule executive review if needed | Prepare case studies for board presentation,concerned,True,False
CALL-2011,HC-1005,2024-12-02,check-in,86,Multiple stakeholders,"Check-in call with Chief Medical Officer

Usage stats reviewed: 69 providers active
Recent support tickets: None - smooth sailing
Training needs: Staff fully trained

Feedback: Exceeded expectations
",Follow up on training request | Share best practices document | Schedule next quarterly review,concerned,True,False
CALL-2012,HC-1006,2025-07-29,onboarding,74,Operations Director,"Onboarding call with Premier Medical Partners - Primary Care
            
Goals discussed:
- Reduce no-show rate (currently at 22%)
- Streamline insurance verification process
- Improve patient portal adoption (currently only 15% of patients using)
- Better reporting for quality measures

Current pain points:
- Billing staff overwhelmed with claim rejections
- Staff training needed on advanced features
- Epic integration setup pending

Success criteria defined: Reduce no-shows by 50% within 6 months, achieve 40% portal adoption
Timeline: Full implementation target is 90 days
",Schedule EHR integration kickoff | Send training materials for staff | Configure automated appointment reminders,neutral,False,True
CALL-2013,HC-1006,2025-06-23,check-in,45,Multiple stakeholders,"Check-in call with Practice Manager

Usage stats reviewed: 11 providers active
Recent support tickets: 2-3 tickets this month, mostly questions
Training needs: Staff fully trained

Feedback: Very happy with platform
",Follow up on training request | Share best practices document | Schedule next quarterly review,concerned,True,False
CALL-2014,HC-1007,2025-08-10,expansion,86,Billing Manager,"Expansion opportunity discussion
            
Currently using: Basic scheduling + billing modules
Expressed interest in: Telehealth module and advanced analytics

Drivers:
- Expanding to telehealth post-COVID, need integrated solution
- Board requesting better operational dashboards
- 24 providers, growing to 34 next quarter

Budget: $18943.5/mo approved for Q4
Competition: Evaluating [competitor name] but prefer staying with us due to EHR integration

Next steps: Demo advanced analytics next week, pricing proposal by Friday
",Send proposal for telehealth module | Schedule demo with CMO and Operations | Prepare ROI analysis,concerned,False,False
CALL-2015,HC-1007,2024-11-23,check-in,72,Practice Manager,"Check-in call with COO

Usage stats reviewed: 24 providers active
Recent support tickets: 2-3 tickets this month, mostly questions
Training needs: Staff fully trained

Feedback: Some workflow improvements needed
",Follow up on training request | Share best practices document | Schedule next quarterly review,enthusiastic,False,False
CALL-2016,HC-1008,2024-02-17,renewal,18,Practice Manager,"Renewal discussion - monthly contract expiring in 60 days

Overall satisfaction: high
Renewal likelihood: Strong

What's working:
- Decreased wait times by 20 minutes on average

Concerns raised:
- None - very satisfied

Renewal terms discussed: Multi-year discount offered
Action needed: Prepare renewal paperwork
",Send renewal quote by Friday | Schedule executive review if needed | Prepare case studies for board presentation,positive,False,False
CALL-2017,HC-1008,2024-06-24,support_escalation,36,Multiple stakeholders,"Check-in call with Chief Medical Officer

Usage stats reviewed: 14 providers active
Recent support tickets: None - smooth sailing
Training needs: Staff fully trained

Feedback: Meeting expectations
",Follow up next month,enthusiastic,False,False
CALL-2018,HC-1009,2024-08-30,support_escalation,17,Operations Director,"Check-in call with Director of Operations

Usage stats reviewed: 72 providers active
Recent support tickets: None - smooth sailing
Training needs: Additional training requested on reporting

Feedback: Very happy with platform
",Follow up next month,positive,False,False
CALL-2019,HC-1009,2025-08-12,onboarding,61,Operations Director,"Onboarding call with Integrated Care System - Mental Health
            
Goals discussed:
- Reduce no-show rate (currently at 22%)
- Streamline insurance verification process
- Improve patient portal adoption (currently only 15% of patients using)
- Better reporting for quality measures

Current pain points:
- Cannot easily track referrals to specialists
- Staff training needed on advanced features
- Epic integration setup pending

Success criteria defined: Reduce no-shows by 50% within 6 months, achieve 40% portal adoption
Timeline: Full implementation target is 90 days
",Schedule EHR integration kickoff | Send training materials for staff | Configure automated appointment reminders,neutral,False,False
