customer_id,organization_name,org_type,specialty,segment,num_providers,num_locations,patients_per_month,mrr,tenure_months,health_score,signup_date,contract_type,ehr_system,ehr_integrated,compliance_certifications,payment_status,champion_title,champion_exists,implementation_status,competing_systems
HC-1000,Regional Health Partners,Telehealth Provider,Pediatrics,SMB,8,1,912,1360,43,47,2024-08-16,annual,Cerner,True,"['HIPAA', 'State Privacy Laws', 'Meaningful Use']",current,COO,True,full_adoption,None
HC-1001,Regional Medical Group,Hospital System,Primary Care,Enterprise,422,2,85666,59131,24,42,2025-07-28,annual,Cerner,False,"['Meaningful Use', 'HIPAA', 'HITECH']",current,COO,False,configuration,None
HC-1002,Integrated Healthcare Partners,Clinic Network,Orthopedics,Mid-Market,42,17,5082,24769,44,64,2024-08-08,annual,Allscripts,True,['HIPAA'],current,IT Director,False,live,Using legacy system alongside
HC-1003,Premier Healthcare Center,Private Practice,Multi-specialty,SMB,16,4,4624,689,47,90,2025-07-03,annual,Epic,True,"['HIPAA', 'State Privacy Laws']",current,Director of Operations,True,configuration,Evaluating alternatives
HC-1004,Regional Health Group,Telehealth Provider,Mental Health,SMB,10,4,1170,6810,4,44,2024-03-22,annual,Cerner,True,['Meaningful Use'],current,Director of Operations,True,full_adoption,Using legacy system alongside
HC-1005,Advanced Healthcare Group,Clinic Network,Mental Health,Mid-Market,69,14,7383,20787,47,74,2024-03-14,annual,Athenahealth,True,"['HITECH', 'State Privacy Laws', 'HIPAA']",past_due,Chief Medical Officer,True,full_adoption,Considering switch
HC-1006,Premier Medical Partners,Private Practice,Primary Care,SMB,11,2,1683,4343,29,57,2024-08-22,annual,Epic,True,"['Meaningful Use', 'HITECH']",excellent,Practice Manager,False,training,Using legacy system alongside
HC-1007,Integrated Care Associates,Clinic Network,Orthopedics,Mid-Market,24,16,6936,12629,40,60,2024-09-28,annual,Cerner,True,['State Privacy Laws'],current,COO,False,full_adoption,Considering switch
HC-1008,Community Medical System,Private Practice,Multi-specialty,SMB,14,1,3584,7708,15,84,2024-04-03,monthly,Epic,True,['HITECH'],current,Chief Medical Officer,True,full_adoption,None
HC-1009,Integrated Care System,Specialty Center,Mental Health,Mid-Market,72,3,12960,10258,8,74,2025-07-20,annual,Epic,True,"['HIPAA', 'State Privacy Laws', 'HITECH']",current,Director of Operations,True,live,Using legacy system alongside
HC-1010,Community Care Center,Specialty Center,Mental Health,Mid-Market,16,1,2736,13392,12,73,2025-05-27,monthly,Cerner,True,"['HIPAA', 'State Privacy Laws', 'HITECH']",current,COO,False,training,Evaluating alternatives
HC-1011,Community Health System,Private Practice,Oncology,SMB,9,1,1206,3273,1,54,2025-05-15,3-year,Epic,False,['State Privacy Laws'],current,Director of Operations,True,training,None
