request_id,customer_id,date,feature_requested,description,business_impact,votes,status,urgency
FR-1000,HC-1001,2024-08-21,Lab results integration,Reporting doesn't show metrics leadership needs,High - blocking workflow,35,Shipped,Medium
FR-1001,HC-1002,2024-02-24,Patient payment plans,Scheduling conflicts between multiple providers,Medium - workaround exists,12,Shipped,Low
FR-1002,HC-1002,2024-03-07,Patient waitlist management,Staff spending too much time on manual data entry,Low - nice to have,24,Shipped,Critical
FR-1003,HC-1002,2024-12-21,Patient payment plans,Insurance verification taking 15+ minutes per patient,High - blocking workflow,40,In development,Critical
FR-1004,HC-1003,2024-10-09,Multi-location scheduling view,Compliance audit preparation is extremely time-consuming,Low - nice to have,13,Under review,Low
FR-1005,HC-1004,2024-05-16,Prior authorization automation,"No-show rate impacting revenue, need better reminders",Low - nice to have,42,Shipped,Medium
FR-1006,HC-1004,2025-07-05,Clinical decision support alerts,"Patient portal adoption is low, too complex for elderly patients",High - blocking workflow,17,Declined,Low
FR-1007,HC-1004,2024-05-27,Telemedicine video quality improvements,Scheduling conflicts between multiple providers,Medium - workaround exists,7,Under review,Critical
FR-1008,HC-1004,2025-01-01,Multi-location scheduling view,EHR integration frequently breaks after Epic updates,High - blocking workflow,17,Declined,Critical
FR-1009,HC-1005,2024-06-14,Referral tracking workflow,"No-show rate impacting revenue, need better reminders",Low - nice to have,24,Planned,High
FR-1010,HC-1005,2024-01-31,Patient payment plans,EHR integration frequently breaks after Epic updates,Medium - workaround exists,2,Under review,Critical
FR-1011,HC-1005,2025-02-17,Multi-location scheduling view,Billing staff overwhelmed with claim rejections,Medium - workaround exists,35,Shipped,Low
FR-1012,HC-1010,2024-09-15,Patient payment plans,EHR integration frequently breaks after Epic updates,High - blocking workflow,28,In development,Low
FR-1013,HC-1013,2024-03-24,Lab results integration,Cannot easily track referrals to specialists,High - blocking workflow,33,Declined,Medium
FR-1014,HC-1013,2024-01-21,Multi-location scheduling view,Staff spending too much time on manual data entry,Low - nice to have,21,Under review,Medium
FR-1015,HC-1013,2024-04-07,Patient waitlist management,Staff spending too much time on manual data entry,Low - nice to have,10,Under review,Critical
FR-1016,HC-1016,2025-08-04,Multi-location scheduling view,"Patient portal adoption is low, too complex for elderly patients",High - blocking workflow,46,Planned,High
FR-1017,HC-1017,2025-05-25,Patient waitlist management,Reporting doesn't show metrics leadership needs,High - blocking workflow,9,In development,Critical
FR-1018,HC-1018,2024-06-07,Multi-location scheduling view,"Patient portal adoption is low, too complex for elderly patients",Low - nice to have,6,Planned,Low
FR-1019,HC-1018,2024-06-30,Telemedicine video quality improvements,Insurance verification taking 15+ minutes per patient,Medium - workaround exists,42,Under review,Critical
FR-1020,HC-1019,2024-05-03,Clinical decision support alerts,Compliance audit preparation is extremely time-consuming,High - blocking workflow,35,In development,High
FR-1021,HC-1019,2025-08-27,Telemedicine video quality improvements,Insurance verification taking 15+ minutes per patient,High - blocking workflow,18,Shipped,High
FR-1022,HC-1019,2025-09-09,Patient waitlist management,Scheduling conflicts between multiple providers,Medium - workaround exists,19,Shipped,Low
FR-1023,HC-1020,2024-04-29,Telemedicine video quality improvements,EHR integration frequently breaks after Epic updates,Medium - workaround exists,25,Planned,Medium
FR-1024,HC-1022,2025-05-17,Referral tracking workflow,Billing staff overwhelmed with claim rejections,High - blocking workflow,10,In development,Critical
FR-1025,HC-1022,2025-05-06,Multi-location scheduling view,EHR integration frequently breaks after Epic updates,Low - nice to have,17,Under review,Medium
FR-1026,HC-1022,2025-06-23,Multi-location scheduling view,Scheduling conflicts between multiple providers,Low - nice to have,36,Declined,Low
FR-1027,HC-1023,2024-07-24,Clinical decision support alerts,"Patient portal adoption is low, too complex for elderly patients",High - blocking workflow,31,Shipped,High
