interaction_id,customer_id,date,channel,topic,priority,sentiment,resolution_time_hours,resolved,escalated,csat_score,description,staff_role,affected_users,patient_impact
TICKET-5000,HC-1000,2025-08-06,chat,patient_portal,high,frustrated,31,True,False,,Patients reporting can't access lab results through portal. IT showing error: 'unauthorized access'. This is causing significant disruption to patient care. COO escalating.,IT Admin,3,
TICKET-5001,HC-1000,2024-03-23,chat,patient_portal,medium,negative,42,True,False,3.0,Portal messaging feature timing out for 912 patient messages. Staff having to call patients back. Staff productivity severely impacted. Need resolution ASAP.,Medical Assistant,2,
TICKET-5002,HC-1000,2024-02-29,email,ehr_integration,high,frustrated,34,True,False,,Medication reconciliation data from Cerner not flowing correctly. Providers seeing outdated medication lists. This is causing significant disruption to patient care. COO escalating.,Medical Assistant,4,None
TICKET-5003,HC-1000,2024-06-11,email,patient_portal,medium,negative,66,True,False,,Patients reporting can't access lab results through portal. IT showing error: 'unauthorized access'. Staff productivity severely impacted. Need resolution ASAP.,Front Desk,4,Medium
TICKET-5004,HC-1000,2025-02-17,phone,insurance_verification,high,frustrated,93,True,False,,Issue with insurance verification This is causing significant disruption to patient care. COO escalating.,Practice Manager,3,Low
TICKET-5005,HC-1000,2025-01-17,email,ehr_integration,high,negative,65,True,False,4.0,Medication reconciliation data from Cerner not flowing correctly. Providers seeing outdated medication lists. Staff productivity severely impacted. Need resolution ASAP.,Provider,4,
TICKET-5006,HC-1000,2024-01-05,email,appointment_reminders,medium,negative,51,True,False,,Issue with appointment reminders Staff productivity severely impacted. Need resolution ASAP.,Billing Specialist,3,
TICKET-5007,HC-1001,2024-04-15,ticket,insurance_verification,high,frustrated,92,True,True,,Issue with insurance verification This is causing significant disruption to patient care. COO escalating.,Practice Manager,5,
TICKET-5008,HC-1001,2024-10-24,ticket,patient_portal,high,frustrated,38,False,False,4.0,Appointment request form on portal not submitting. Patients calling saying online booking broken. This is causing significant disruption to patient care. COO escalating.,Provider,2,
TICKET-5009,HC-1002,2024-05-17,chat,telehealth_setup,low,concerned,35,True,False,,Issue with telehealth setup,Medical Assistant,5,
TICKET-5010,HC-1002,2025-02-17,chat,ehr_integration,high,frustrated,43,True,False,,Epic integration stopped syncing patient appointments after last Allscripts update. Appointments from past 48 hours missing. This is causing significant disruption to patient care. IT Director escalating.,Medical Assistant,1,
TICKET-5011,HC-1002,2024-01-23,email,claims_management,medium,concerned,12,True,False,,Issue with claims management,IT Admin,3,None
TICKET-5012,HC-1002,2024-02-08,chat,insurance_verification,low,concerned,12,True,False,5.0,Issue with insurance verification,Provider,1,
TICKET-5013,HC-1002,2024-02-19,chat,appointment_reminders,low,concerned,25,True,False,5.0,Issue with appointment reminders,Practice Manager,7,
TICKET-5014,HC-1002,2024-04-28,chat,insurance_verification,low,neutral,37,False,False,,Issue with insurance verification,Provider,5,
TICKET-5015,HC-1003,2024-06-05,email,billing_workflow,low,neutral,57,True,False,2.0,CPT codes not mapping correctly to Epic procedures. Causing claim denials.,Practice Manager,6,
TICKET-5016,HC-1003,2024-04-13,ticket,appointment_reminders,low,positive,53,False,False,2.0,Issue with appointment reminders,IT Admin,4,
TICKET-5017,HC-1003,2024-04-17,phone,reporting_analytics,low,positive,16,True,False,,Issue with reporting analytics,Practice Manager,9,
